Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,4,Buenos Aires,326.0,3.0,1.0,130.0,72.0,5.0
2022,4,Capital Federal,139.0,1.0,139.0,5.0,32.0,2.0
2022,4,Catamarca,9.0,11.0,47.0,1.0,2.0,71.0
2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0
2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0
2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0
2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0
2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0
2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0
2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0
2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0
2022,4,La Rioja,6.0,54.0,19.0,6.0,32.0,86.0
2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0
2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0
2022,4,Neuquén,29.0,73.0,32.0,24.0,4.0,160.0
2022,4,Río Negro,34.0,48.0,44.0,16.0,19.0,162.0
2022,4,Salta,37.0,97.0,53.0,12.0,7.0,206.0
2022,4,San Juan,39.0,23.0,12.0,22.0,8.0,104.0
2022,4,San Luis,6.0,43.0,3.0,82.0,511.0,135.0
2022,4,Santa Cruz,10.0,24.0,12.0,4.0,662.0,50.0
2022,4,Santa Fe,164.0,412.0,249.0,44.0,19.0,888.0
2022,4,Santiago Del Estero,14.0,81.0,15.0,7.0,3.0,119.0
2022,4,Tierra Del Fuego,13.0,41.0,405.0,157.0,651.0,55.0
2022,4,Tucumán,69.0,21.0,169.0,4.0,527.0,263.0
2022,3,Buenos Aires,340.0,3.0,1.0,127.0,70.0,5.0
2022,3,Capital Federal,141.0,1.0,129.0,6.0,32.0,2.0
2022,3,Catamarca,10.0,10.0,46.0,1.0,2.0,70.0
2022,3,Chaco,27.0,62.0,45.0,8.0,2.0,144.0
2022,3,Chubut,45.0,72.0,10.0,30.0,9.0,166.0
2022,3,Córdoba,164.0,465.0,339.0,61.0,10.0,1.0
2022,3,Corrientes,37.0,77.0,19.0,7.0,5.0,145.0
2022,3,Entre Ríos,60.0,133.0,37.0,26.0,13.0,269.0
2022,3,Formosa,14.0,26.0,11.0,17.0,212.0,69.0
2022,3,Jujuy,19.0,53.0,40.0,4.0,2.0,119.0
2022,3,La Pampa,8.0,60.0,24.0,20.0,4.0,116.0
2022,3,La Rioja,7.0,54.0,20.0,6.0,31.0,87.0
2022,3,Mendoza,38.0,79.0,143.0,28.0,3.0,290.0
2022,3,Misiones,36.0,89.0,39.0,11.0,8.0,182.0
2022,3,Neuquén,29.0,76.0,29.0,27.0,1.0,163.0
2022,3,Río Negro,36.0,48.0,41.0,17.0,19.0,161.0
2022,3,Salta,40.0,97.0,50.0,10.0,7.0,205.0
2022,3,San Juan,39.0,23.0,12.0,22.0,8.0,103.0
2022,3,San Luis,7.0,29.0,248.0,71.0,15.0,122.0
2022,3,Santa Cruz,10.0,24.0,11.0,4.0,582.0,50.0
2022,3,Santa Fe,184.0,426.0,215.0,43.0,20.0,888.0
2022,3,Santiago Del Estero,15.0,81.0,13.0,7.0,3.0,119.0
2022,3,Tierra Del Fuego,13.0,40.0,403.0,125.0,651.0,54.0
2022,3,Tucumán,78.0,19.0,162.0,4.0,519.0,263.0
2022,2,Buenos Aires,351.0,3.0,1.0,127.0,71.0,5.0
2022,2,Capital Federal,145.0,1.0,122.0,6.0,32.0,2.0
2022,2,Catamarca,12.0,9.0,42.0,1.0,2.0,67.0
2022,2,Chaco,30.0,61.0,42.0,8.0,2.0,144.0
2022,2,Chubut,45.0,69.0,10.0,30.0,9.0,163.0
2022,2,Córdoba,179.0,468.0,309.0,61.0,10.0,1.0
2022,2,Corrientes,38.0,76.0,18.0,7.0,5.0,145.0
2022,2,Entre Ríos,64.0,131.0,36.0,26.0,13.0,269.0
2022,2,Formosa,15.0,25.0,10.0,17.0,212.0,68.0
2022,2,Jujuy,20.0,54.0,34.0,4.0,2.0,115.0
2022,2,La Pampa,8.0,59.0,23.0,20.0,1.0,112.0
2022,2,La Rioja,8.0,53.0,19.0,6.0,31.0,86.0
2022,2,Mendoza,38.0,78.0,136.0,27.0,2.0,280.0
2022,2,Misiones,37.0,89.0,34.0,11.0,8.0,179.0
2022,2,Neuquén,30.0,75.0,29.0,27.0,1.0,162.0
2022,2,Río Negro,36.0,47.0,41.0,17.0,19.0,160.0
2022,2,Salta,43.0,96.0,47.0,10.0,7.0,203.0
2022,2,San Juan,39.0,20.0,12.0,22.0,8.0,100.0
2022,2,San Luis,7.0,29.0,248.0,71.0,15.0,122.0
2022,2,Santa Cruz,10.0,24.0,11.0,4.0,579.0,49.0
2022,2,Santa Fe,198.0,428.0,190.0,43.0,20.0,879.0
2022,2,Santiago Del Estero,17.0,80.0,12.0,7.0,3.0,118.0
2022,2,Tierra Del Fuego,13.0,40.0,403.0,125.0,651.0,54.0
2022,2,Tucumán,86.0,15.0,149.0,4.0,487.0,255.0
2022,1,Buenos Aires,392.0,3.0,1.0,126.0,67.0,5.0
2022,1,Capital Federal,102.0,1.0,62.0,6.0,30.0,1.0
2022,1,Catamarca,14.0,16.0,29.0,1.0,2.0,62.0
2022,1,Chaco,32.0,65.0,37.0,8.0,2.0,144.0
2022,1,Chubut,44.0,67.0,9.0,31.0,21.0,172.0
2022,1,Córdoba,196.0,502.0,236.0,61.0,10.0,1.0
2022,1,Corrientes,40.0,79.0,11.0,7.0,5.0,143.0
2022,1,Entre Ríos,67.0,139.0,23.0,26.0,13.0,268.0
2022,1,Formosa,16.0,16.0,5.0,17.0,202.0,55.0
2022,1,Jujuy,21.0,61.0,26.0,5.0,4.0,117.0
2022,1,La Pampa,8.0,59.0,22.0,20.0,1.0,110.0
2022,1,La Rioja,9.0,59.0,10.0,6.0,31.0,84.0
2022,1,Mendoza,49.0,74.0,123.0,27.0,1.0,275.0
2022,1,Misiones,39.0,92.0,25.0,8.0,8.0,172.0
2022,1,Neuquén,28.0,73.0,24.0,23.0,745.0,150.0
2022,1,Río Negro,39.0,45.0,38.0,17.0,18.0,157.0
2022,1,Salta,45.0,99.0,41.0,6.0,7.0,198.0
2022,1,San Juan,34.0,14.0,11.0,21.0,8.0,88.0
2022,1,San Luis,8.0,11.0,31.0,72.0,29.0,120.0
2022,1,Santa Cruz,11.0,23.0,11.0,4.0,405.0,49.0
2022,1,Santa Fe,213.0,445.0,147.0,45.0,21.0,870.0
2022,1,Santiago Del Estero,18.0,88.0,1.0,6.0,3.0,116.0
2022,1,Tierra Del Fuego,13.0,39.0,416.0,124.0,340.0,53.0
2022,1,Tucumán,93.0,62.0,86.0,4.0,487.0,246.0
2021,4,Buenos Aires,426.0,3.0,1.0,127.0,73.0,5.0
2021,4,Capital Federal,111.0,1.0,60.0,6.0,30.0,1.0
2021,4,Catamarca,16.0,14.0,25.0,2.0,2.0,59.0
2021,4,Chaco,36.0,63.0,35.0,8.0,2.0,144.0
2021,4,Chubut,46.0,57.0,10.0,28.0,19.0,160.0
2021,4,Córdoba,212.0,487.0,217.0,61.0,9.0,987.0
2021,4,Corrientes,43.0,71.0,10.0,7.0,5.0,136.0
2021,4,Entre Ríos,70.0,133.0,23.0,25.0,13.0,265.0
2021,4,Formosa,17.0,15.0,5.0,16.0,172.0,54.0
2021,4,Jujuy,22.0,61.0,24.0,3.0,4.0,114.0
2021,4,La Pampa,8.0,58.0,20.0,19.0,1.0,107.0
2021,4,La Rioja,10.0,57.0,9.0,7.0,31.0,83.0
2021,4,Mendoza,60.0,72.0,110.0,25.0,2.0,268.0
2021,4,Misiones,42.0,92.0,22.0,8.0,8.0,171.0
2021,4,Neuquén,29.0,73.0,23.0,22.0,746.0,147.0
2021,4,Río Negro,42.0,44.0,32.0,17.0,18.0,154.0
2021,4,Salta,47.0,100.0,40.0,6.0,7.0,199.0
2021,4,San Juan,36.0,13.0,11.0,11.0,8.0,80.0
2021,4,San Luis,8.0,11.0,30.0,71.0,29.0,119.0
2021,4,Santa Cruz,11.0,23.0,10.0,4.0,417.0,48.0
2021,4,Santa Fe,233.0,444.0,129.0,44.0,16.0,866.0
2021,4,Santiago Del Estero,19.0,87.0,1.0,6.0,3.0,116.0
2021,4,Tierra Del Fuego,13.0,38.0,426.0,124.0,342.0,52.0
2021,4,Tucumán,98.0,59.0,79.0,3.0,486.0,239.0
2021,3,Buenos Aires,586.0,3.0,886.0,120.0,65.0,4.0
2021,3,Capital Federal,143.0,1.0,43.0,6.0,29.0,1.0
2021,3,Catamarca,18.0,12.0,22.0,2.0,2.0,56.0
2021,3,Chaco,38.0,64.0,28.0,8.0,2.0,140.0
2021,3,Chubut,49.0,56.0,9.0,23.0,19.0,156.0
2021,3,Córdoba,229.0,477.0,167.0,58.0,15.0,947.0
2021,3,Corrientes,45.0,69.0,8.0,7.0,5.0,134.0
2021,3,Entre Ríos,74.0,129.0,20.0,24.0,13.0,260.0
2021,3,Formosa,18.0,14.0,5.0,16.0,171.0,53.0
2021,3,Jujuy,24.0,61.0,20.0,3.0,4.0,111.0
2021,3,La Pampa,9.0,58.0,18.0,14.0,1.0,100.0
2021,3,La Rioja,11.0,55.0,9.0,7.0,30.0,82.0
2021,3,Mendoza,91.0,71.0,71.0,22.0,828.0,256.0
2021,3,Misiones,43.0,89.0,11.0,7.0,8.0,159.0
2021,3,Neuquén,30.0,74.0,16.0,19.0,640.0,140.0
2021,3,Río Negro,48.0,45.0,19.0,15.0,18.0,145.0
2021,3,Salta,49.0,98.0,36.0,6.0,6.0,196.0
2021,3,San Juan,40.0,13.0,7.0,11.0,8.0,79.0
2021,3,San Luis,8.0,12.0,27.0,69.0,29.0,118.0
2021,3,Santa Cruz,12.0,23.0,6.0,4.0,3.0,49.0
2021,3,Santa Fe,246.0,443.0,93.0,43.0,16.0,842.0
2021,3,Santiago Del Estero,20.0,86.0,909.0,6.0,3.0,115.0
2021,3,Tierra Del Fuego,13.0,37.0,6.0,16.0,390.0,50.0
2021,3,Tucumán,104.0,54.0,71.0,2.0,743.0,232.0
2021,2,Buenos Aires,603.0,3.0,854.0,114.0,58.0,4.0
2021,2,Capital Federal,149.0,1.0,41.0,6.0,29.0,1.0
2021,2,Catamarca,20.0,9.0,22.0,1.0,2.0,56.0
2021,2,Chaco,40.0,63.0,28.0,8.0,2.0,141.0
2021,2,Chubut,49.0,41.0,6.0,24.0,19.0,139.0
2021,2,Córdoba,240.0,468.0,152.0,56.0,16.0,931.0
2021,2,Corrientes,47.0,67.0,4.0,7.0,5.0,130.0
2021,2,Entre Ríos,78.0,125.0,18.0,24.0,13.0,258.0
2021,2,Formosa,20.0,13.0,4.0,16.0,171.0,52.0
2021,2,Jujuy,25.0,61.0,20.0,3.0,4.0,112.0
2021,2,La Pampa,9.0,57.0,17.0,13.0,1.0,98.0
2021,2,La Rioja,12.0,54.0,9.0,6.0,30.0,82.0
2021,2,Mendoza,92.0,71.0,45.0,22.0,827.0,230.0
2021,2,Misiones,45.0,88.0,10.0,5.0,8.0,156.0
2021,2,Neuquén,30.0,73.0,16.0,19.0,640.0,138.0
2021,2,Río Negro,48.0,44.0,19.0,15.0,18.0,144.0
2021,2,Salta,51.0,96.0,32.0,6.0,6.0,192.0
2021,2,San Juan,40.0,12.0,7.0,11.0,8.0,79.0
2021,2,San Luis,8.0,11.0,28.0,67.0,36.0,123.0
2021,2,Santa Cruz,12.0,23.0,6.0,4.0,3.0,49.0
2021,2,Santa Fe,257.0,432.0,90.0,44.0,18.0,841.0
2021,2,Santiago Del Estero,21.0,84.0,909.0,5.0,4.0,114.0
2021,2,Tierra Del Fuego,13.0,23.0,6.0,14.0,316.0,36.0
2021,2,Tucumán,110.0,48.0,72.0,2.0,743.0,233.0
2021,1,Buenos Aires,630.0,2.0,822.0,99.0,58.0,4.0
2021,1,Capital Federal,160.0,1.0,40.0,6.0,29.0,1.0
2021,1,Catamarca,26.0,4.0,19.0,322.0,2.0,52.0
2021,1,Chaco,43.0,61.0,25.0,8.0,2.0,140.0
2021,1,Chubut,46.0,41.0,3.0,24.0,19.0,132.0
2021,1,Córdoba,260.0,445.0,135.0,54.0,17.0,911.0
2021,1,Corrientes,49.0,63.0,3.0,6.0,5.0,127.0
2021,1,Entre Ríos,84.0,118.0,17.0,21.0,12.0,252.0
2021,1,Formosa,21.0,11.0,3.0,16.0,380.0,51.0
2021,1,Jujuy,32.0,54.0,17.0,3.0,4.0,110.0
2021,1,La Pampa,9.0,59.0,16.0,12.0,1.0,97.0
2021,1,La Rioja,17.0,35.0,1.0,250.0,30.0,53.0
2021,1,Mendoza,92.0,69.0,39.0,18.0,833.0,219.0
2021,1,Misiones,48.0,82.0,7.0,5.0,7.0,149.0
2021,1,Neuquén,30.0,70.0,14.0,18.0,632.0,133.0
2021,1,Río Negro,49.0,42.0,18.0,14.0,18.0,141.0
2021,1,Salta,55.0,89.0,31.0,6.0,6.0,188.0
2021,1,San Juan,40.0,12.0,7.0,11.0,8.0,78.0
2021,1,San Luis,8.0,11.0,28.0,64.0,36.0,119.0
2021,1,Santa Cruz,12.0,23.0,6.0,4.0,390.0,46.0
2021,1,Santa Fe,277.0,421.0,71.0,39.0,18.0,826.0
2021,1,Santiago Del Estero,26.0,76.0,570.0,5.0,4.0,112.0
2021,1,Tierra Del Fuego,13.0,27.0,6.0,0.0,316.0,40.0
2021,1,Tucumán,147.0,12.0,70.0,2.0,740.0,232.0
2020,4,Buenos Aires,636.0,2.0,805.0,93.0,58.0,4.0
2020,4,Capital Federal,163.0,1.0,40.0,5.0,29.0,1.0
2020,4,Catamarca,27.0,5.0,18.0,322.0,2.0,52.0
2020,4,Chaco,44.0,61.0,24.0,8.0,2.0,139.0
2020,4,Chubut,46.0,40.0,3.0,23.0,19.0,131.0
2020,4,Córdoba,267.0,439.0,126.0,53.0,18.0,903.0
2020,4,Corrientes,50.0,61.0,3.0,6.0,5.0,126.0
2020,4,Entre Ríos,86.0,114.0,16.0,20.0,12.0,247.0
2020,4,Formosa,21.0,11.0,2.0,15.0,380.0,50.0
2020,4,Jujuy,33.0,53.0,16.0,1.0,3.0,106.0
2020,4,La Pampa,9.0,59.0,15.0,12.0,1.0,97.0
2020,4,La Rioja,18.0,35.0,1.0,250.0,30.0,53.0
2020,4,Mendoza,92.0,68.0,36.0,18.0,833.0,215.0
2020,4,Misiones,49.0,80.0,7.0,4.0,7.0,147.0
2020,4,Neuquén,30.0,71.0,14.0,18.0,632.0,133.0
2020,4,Río Negro,49.0,42.0,18.0,14.0,18.0,141.0
2020,4,Salta,57.0,88.0,31.0,6.0,6.0,187.0
2020,4,San Juan,40.0,7.0,7.0,10.0,8.0,73.0
2020,4,San Luis,8.0,12.0,27.0,63.0,36.0,119.0
2020,4,Santa Cruz,12.0,20.0,1.0,5.0,3.0,41.0
2020,4,Santa Fe,287.0,415.0,63.0,39.0,17.0,821.0
2020,4,Santiago Del Estero,27.0,71.0,570.0,5.0,4.0,107.0
2020,4,Tierra Del Fuego,13.0,26.0,6.0,0.0,316.0,40.0
2020,4,Tucumán,149.0,11.0,68.0,2.0,740.0,231.0
2020,3,Buenos Aires,654.0,2.0,749.0,94.0,56.0,4.0
2020,3,Capital Federal,170.0,1.0,39.0,4.0,29.0,1.0
2020,3,Catamarca,27.0,4.0,17.0,261.0,2.0,50.0
2020,3,Chaco,46.0,59.0,21.0,7.0,2.0,134.0
2020,3,Chubut,46.0,39.0,3.0,23.0,19.0,130.0
2020,3,Córdoba,276.0,431.0,102.0,48.0,10.0,867.0
2020,3,Corrientes,51.0,59.0,3.0,6.0,5.0,123.0
2020,3,Entre Ríos,88.0,107.0,14.0,20.0,12.0,241.0
2020,3,Formosa,22.0,10.0,2.0,15.0,393.0,49.0
2020,3,Jujuy,33.0,58.0,11.0,952.0,4.0,107.0
2020,3,La Pampa,9.0,57.0,15.0,12.0,1.0,94.0
2020,3,La Rioja,17.0,35.0,1.0,250.0,35.0,53.0
2020,3,Mendoza,92.0,65.0,33.0,18.0,868.0,208.0
2020,3,Misiones,50.0,78.0,3.0,3.0,9.0,143.0
2020,3,Neuquén,30.0,70.0,11.0,17.0,737.0,129.0
2020,3,Río Negro,50.0,40.0,10.0,13.0,18.0,131.0
2020,3,Salta,58.0,84.0,25.0,6.0,7.0,181.0
2020,3,San Juan,40.0,9.0,6.0,14.0,8.0,77.0
2020,3,San Luis,8.0,10.0,6.0,62.0,36.0,117.0
2020,3,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2020,3,Santa Fe,295.0,406.0,46.0,37.0,19.0,803.0
2020,3,Santiago Del Estero,26.0,71.0,555.0,4.0,4.0,105.0
2020,3,Tierra Del Fuego,13.0,26.0,0.0,0.0,310.0,40.0
2020,3,Tucumán,150.0,12.0,60.0,2.0,762.0,224.0
2020,2,Buenos Aires,661.0,2.0,723.0,92.0,57.0,4.0
2020,2,Capital Federal,179.0,1.0,39.0,4.0,29.0,1.0
2020,2,Catamarca,27.0,4.0,15.0,261.0,2.0,48.0
2020,2,Chaco,47.0,56.0,17.0,6.0,2.0,128.0
2020,2,Chubut,46.0,38.0,1.0,18.0,6.0,109.0
2020,2,Córdoba,283.0,415.0,86.0,45.0,8.0,836.0
2020,2,Corrientes,51.0,56.0,3.0,4.0,5.0,119.0
2020,2,Entre Ríos,89.0,99.0,14.0,20.0,11.0,234.0
2020,2,Formosa,22.0,9.0,2.0,15.0,169.0,48.0
2020,2,Jujuy,33.0,39.0,5.0,952.0,17.0,94.0
2020,2,La Pampa,9.0,54.0,14.0,11.0,1.0,90.0
2020,2,La Rioja,17.0,35.0,1.0,250.0,35.0,52.0
2020,2,Mendoza,92.0,63.0,30.0,16.0,802.0,201.0
2020,2,Misiones,51.0,74.0,3.0,3.0,9.0,140.0
2020,2,Neuquén,30.0,68.0,11.0,16.0,1.0,126.0
2020,2,Río Negro,50.0,40.0,10.0,11.0,18.0,129.0
2020,2,Salta,60.0,82.0,24.0,5.0,7.0,178.0
2020,2,San Juan,40.0,8.0,6.0,7.0,9.0,70.0
2020,2,San Luis,8.0,8.0,6.0,61.0,36.0,114.0
2020,2,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2020,2,Santa Fe,300.0,382.0,47.0,30.0,19.0,778.0
2020,2,Santiago Del Estero,26.0,72.0,355.0,3.0,4.0,105.0
2020,2,Tierra Del Fuego,13.0,26.0,0.0,0.0,310.0,39.0
2020,2,Tucumán,150.0,10.0,55.0,1.0,762.0,217.0
2020,1,Buenos Aires,673.0,2.0,721.0,85.0,18.0,4.0
2020,1,Capital Federal,184.0,1.0,39.0,4.0,29.0,1.0
2020,1,Catamarca,22.0,3.0,12.0,261.0,2.0,40.0
2020,1,Chaco,46.0,54.0,12.0,6.0,2.0,120.0
2020,1,Chubut,46.0,27.0,1.0,17.0,5.0,97.0
2020,1,Córdoba,286.0,406.0,69.0,42.0,9.0,811.0
2020,1,Corrientes,51.0,53.0,2.0,2.0,5.0,114.0
2020,1,Entre Ríos,90.0,95.0,13.0,19.0,14.0,232.0
2020,1,Formosa,21.0,9.0,2.0,15.0,169.0,46.0
2020,1,Jujuy,32.0,39.0,3.0,942.0,17.0,92.0
2020,1,La Pampa,9.0,54.0,14.0,11.0,2.0,89.0
2020,1,La Rioja,13.0,35.0,0.0,251.0,29.0,48.0
2020,1,Mendoza,92.0,50.0,28.0,12.0,722.0,183.0
2020,1,Misiones,51.0,69.0,1.0,460.0,11.0,134.0
2020,1,Neuquén,29.0,66.0,11.0,15.0,729.0,122.0
2020,1,Río Negro,48.0,38.0,10.0,11.0,18.0,126.0
2020,1,Salta,60.0,76.0,23.0,4.0,7.0,170.0
2020,1,San Juan,40.0,6.0,6.0,7.0,5.0,64.0
2020,1,San Luis,8.0,8.0,5.0,58.0,36.0,111.0
2020,1,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2020,1,Santa Fe,302.0,384.0,35.0,30.0,19.0,771.0
2020,1,Santiago Del Estero,25.0,70.0,200.0,3.0,5.0,103.0
2020,1,Tierra Del Fuego,13.0,26.0,0.0,0.0,308.0,39.0
2020,1,Tucumán,143.0,10.0,45.0,1.0,347.0,200.0
2019,4,Buenos Aires,720.0,2.0,669.0,87.0,18.0,4.0
