A̱o,Trimestre,Accesos_por_cada_100_hab,id_provincia
2022,4,26.72,1
2022,4,50.35,2
2022,4,16.73,3
2022,4,11.66,4
2022,4,26.23,5
2022,4,27.26,6
2022,4,13.6,7
2022,4,19.14,8
2022,4,10.03,9
2022,4,14.95,10
2022,4,31.23,11
2022,4,21.26,12
2022,4,14.33,13
2022,4,14.39,14
2022,4,23.41,15
2022,4,21.04,16
2022,4,14.04,17
2022,4,12.96,18
2022,4,25.83,19
2022,4,12.95,20
2022,4,24.65,21
2022,4,11.92,22
2022,4,30.07,23
2022,4,15.12,24
2022,3,26.37,1
2022,3,50.22,2
2022,3,16.62,3
2022,3,11.72,4
2022,3,25.86,5
2022,3,27.04,6
2022,3,12.69,7
2022,3,19.04,8
2022,3,11.14,9
2022,3,15.06,10
2022,3,31.82,11
2022,3,21.47,12
2022,3,14.24,13
2022,3,14.11,14
2022,3,23.92,15
2022,3,20.91,16
2022,3,13.99,17
2022,3,12.94,18
2022,3,23.39,19
2022,3,12.85,20
2022,3,24.7,21
2022,3,11.91,22
2022,3,29.5,23
2022,3,15.14,24
2022,2,26.13,1
2022,2,49.87,2
2022,2,15.87,3
2022,2,11.7,4
2022,2,25.5,5
2022,2,26.78,6
2022,2,12.73,7
2022,2,19.1,8
2022,2,11.05,9
2022,2,14.66,10
2022,2,30.63,11
2022,2,21.33,12
2022,2,13.78,13
2022,2,13.89,14
2022,2,23.82,15
2022,2,20.87,16
2022,2,13.94,17
2022,2,12.6,18
2022,2,23.4,19
2022,2,12.84,20
2022,2,24.5,21
2022,2,11.84,22
2022,2,29.6,23
2022,2,14.69,24
2022,1,25.56,1
2022,1,46.01,2
2022,1,14.81,3
2022,1,11.78,4
2022,1,26.99,5
2022,1,26.26,6
2022,1,12.55,7
2022,1,19.05,8
2022,1,8.9,9
2022,1,14.85,10
2022,1,30.2,11
2022,1,20.97,12
2022,1,13.6,13
2022,1,13.36,14
2022,1,22.08,15
2022,1,20.62,16
2022,1,13.59,17
2022,1,11.09,18
2022,1,23.1,19
2022,1,12.89,20
2022,1,24.31,21
2022,1,11.71,22
2022,1,29.14,23
2022,1,14.22,24
2021,4,25.36,1
2021,4,45.85,2
2021,4,14.05,3
2021,4,11.77,4
2021,4,25.31,5
2021,4,25.87,6
2021,4,11.98,7
2021,4,18.88,8
2021,4,8.77,9
2021,4,14.56,10
2021,4,29.51,11
2021,4,20.74,12
2021,4,13.26,13
2021,4,13.36,14
2021,4,21.82,15
2021,4,20.21,16
2021,4,13.76,17
2021,4,10.08,18
2021,4,22.98,19
2021,4,12.81,20
2021,4,24.24,21
2021,4,11.68,22
2021,4,29.17,23
2021,4,13.85,24
2021,3,23.97,1
2021,3,45.9,2
2021,3,13.41,3
2021,3,11.48,4
2021,3,24.74,5
2021,3,24.89,6
2021,3,11.82,7
2021,3,18.59,8
2021,3,8.64,9
2021,3,14.24,10
2021,3,27.77,11
2021,3,20.57,12
2021,3,12.71,13
2021,3,12.41,14
2021,3,20.75,15
2021,3,19.06,16
2021,3,13.55,17
2021,3,10.05,18
2021,3,22.86,19
2021,3,13.02,20
2021,3,23.59,21
2021,3,11.66,22
2021,3,28.15,23
2021,3,13.53,24
2021,2,23.35,1
2021,2,45.49,2
2021,2,13.31,3
2021,2,11.58,4
2021,2,22.16,5
2021,2,24.53,6
2021,2,11.47,7
2021,2,18.44,8
2021,2,8.46,9
2021,2,14.37,10
2021,2,27.04,11
2021,2,20.49,12
2021,2,11.43,13
2021,2,12.26,14
2021,2,20.58,15
2021,2,19.05,16
2021,2,13.3,17
2021,2,10.01,18
2021,2,23.89,19
2021,2,13.1,20
2021,2,23.6,21
2021,2,11.55,22
2021,2,20.13,23
2021,2,13.61,24
2021,1,23.0,1
2021,1,44.83,2
2021,1,12.44,3
2021,1,11.53,4
2021,1,21.15,5
2021,1,24.06,6
2021,1,11.23,7
2021,1,18.07,8
2021,1,8.33,9
2021,1,14.23,10
2021,1,26.94,11
2021,1,13.26,12
2021,1,10.93,13
2021,1,11.76,14
2021,1,19.9,15
2021,1,18.72,16
2021,1,13.06,17
2021,1,9.95,18
2021,1,23.25,19
2021,1,12.39,20
2021,1,23.24,21
2021,1,11.33,22
2021,1,22.93,23
2021,1,13.58,24
2020,4,22.9,1
2020,4,44.83,2
2020,4,12.57,3
2020,4,11.5,4
2020,4,20.95,5
2020,4,23.9,6
2020,4,11.17,7
2020,4,17.78,8
2020,4,8.27,9
2020,4,13.67,10
2020,4,26.94,11
2020,4,13.34,12
2020,4,10.78,13
2020,4,11.61,14
2020,4,19.94,15
2020,4,18.79,16
2020,4,13.09,17
2020,4,9.25,18
2020,4,23.38,19
2020,4,11.01,20
2020,4,23.14,21
2020,4,10.86,22
2020,4,22.61,23
2020,4,13.57,24
2020,3,22.41,1
2020,3,44.62,2
2020,3,12.0,3
2020,3,11.1,4
2020,3,20.95,5
2020,3,23.03,6
2020,3,10.99,7
2020,3,17.4,8
2020,3,8.12,9
2020,3,13.82,10
2020,3,26.12,11
2020,3,13.34,12
2020,3,10.42,13
2020,3,11.33,14
2020,3,19.42,15
2020,3,17.55,16
2020,3,12.67,17
2020,3,9.88,18
2020,3,22.88,19
2020,3,10.7,20
2020,3,22.68,21
2020,3,10.76,22
2020,3,22.77,23
2020,3,13.18,24
2020,2,21.55,1
2020,2,44.15,2
2020,2,11.56,3
2020,2,10.65,4
2020,2,17.58,5
2020,2,22.26,6
2020,2,10.61,7
2020,2,16.9,8
2020,2,7.93,9
2020,2,12.25,10
2020,2,25.07,11
2020,2,13.27,12
2020,2,10.12,13
2020,2,11.14,14
2020,2,19.02,15
2020,2,17.34,16
2020,2,12.49,17
2020,2,8.94,18
2020,2,22.44,19
2020,2,10.65,20
2020,2,22.01,21
2020,2,10.79,22
2020,2,22.64,23
2020,2,12.83,24
2020,1,21.21,1
2020,1,44.02,2
2020,1,9.57,3
2020,1,10.02,4
2020,1,15.72,5
2020,1,21.64,6
2020,1,10.2,7
2020,1,16.78,8
2020,1,7.69,9
2020,1,11.93,10
2020,1,24.96,11
2020,1,12.34,12
2020,1,9.25,13
2020,1,10.63,14
2020,1,18.41,15
2020,1,16.95,16
2020,1,12.01,17
2020,1,8.25,18
2020,1,21.84,19
2020,1,10.7,20
2020,1,21.86,21
2020,1,10.54,22
2020,1,22.55,23
2020,1,11.85,24
2019,4,21.14,1
2019,4,44.19,2
2019,4,9.27,3
2019,4,9.85,4
2019,4,15.68,5
2019,4,21.58,6
2019,4,10.21,7
2019,4,17.34,8
2019,4,7.76,9
2019,4,11.6,10
2019,4,25.34,11
2019,4,12.55,12
2019,4,9.39,13
2019,4,10.84,14
2019,4,17.67,15
2019,4,17.13,16
2019,4,12.2,17
2019,4,8.37,18
2019,4,21.44,19
2019,4,10.92,20
2019,4,21.85,21
2019,4,10.65,22
2019,4,23.63,23
2019,4,11.8,24
2019,3,22.76,1
2019,3,46.9,2
2019,3,7.86,3
2019,3,9.58,4
2019,3,14.58,5
2019,3,21.0,6
2019,3,10.13,7
2019,3,17.31,8
2019,3,7.66,9
2019,3,11.33,10
2019,3,25.52,11
2019,3,12.76,12
2019,3,11.37,13
2019,3,10.71,14
2019,3,19.09,15
2019,3,19.51,16
2019,3,10.77,17
2019,3,9.44,18
2019,3,24.39,19
2019,3,10.6,20
2019,3,21.66,21
2019,3,13.73,22
2019,3,28.6,23
2019,3,9.78,24
2019,2,22.22,1
2019,2,46.09,2
2019,2,8.17,3
2019,2,9.13,4
2019,2,14.4,5
2019,2,20.84,6
2019,2,10.05,7
2019,2,17.19,8
2019,2,7.74,9
2019,2,11.38,10
2019,2,25.4,11
2019,2,12.97,12
2019,2,11.37,13
2019,2,10.66,14
2019,2,18.78,15
2019,2,18.79,16
2019,2,10.15,17
2019,2,9.07,18
2019,2,23.41,19
2019,2,8.58,20
2019,2,21.2,21
2019,2,13.1,22
2019,2,28.11,23
2019,2,9.94,24
2019,1,21.64,1
2019,1,45.58,2
2019,1,8.19,3
2019,1,8.72,4
2019,1,13.18,5
2019,1,20.06,6
2019,1,9.25,7
2019,1,16.98,8
2019,1,7.55,9
2019,1,11.87,10
2019,1,25.16,11
2019,1,13.36,12
2019,1,10.51,13
2019,1,9.88,14
2019,1,17.53,15
2019,1,16.48,16
2019,1,9.71,17
2019,1,8.11,18
2019,1,19.27,19
2019,1,7.04,20
2019,1,21.06,21
2019,1,9.31,22
2019,1,27.68,23
2019,1,10.31,24
2018,4,21.06,1
2018,4,45.25,2
2018,4,8.2,3
2018,4,8.71,4
2018,4,13.06,5
2018,4,19.93,6
2018,4,9.1,7
2018,4,16.26,8
2018,4,7.57,9
2018,4,11.9,10
2018,4,24.22,11
2018,4,13.4,12
2018,4,10.54,13
2018,4,9.38,14
2018,4,17.58,15
2018,4,15.95,16
2018,4,9.64,17
2018,4,8.13,18
2018,4,19.33,19
2018,4,7.05,20
2018,4,20.62,21
2018,4,9.28,22
2018,4,27.75,23
2018,4,10.34,24
2018,3,20.96,1
2018,3,45.38,2
2018,3,8.37,3
2018,3,8.63,4
2018,3,17.29,5
2018,3,19.67,6
2018,3,9.02,7
2018,3,15.02,8
2018,3,7.53,9
2018,3,5.95,10
2018,3,23.64,11
2018,3,13.51,12
2018,3,10.6,13
2018,3,8.74,14
2018,3,18.01,15
2018,3,15.55,16
2018,3,9.55,17
2018,3,8.42,18
2018,3,14.98,19
2018,3,9.74,20
2018,3,19.94,21
2018,3,9.0,22
2018,3,27.51,23
2018,3,10.33,24
2018,2,20.37,1
2018,2,44.63,2
2018,2,8.36,3
2018,2,8.35,4
2018,2,16.83,5
2018,2,19.37,6
2018,2,8.9,7
2018,2,14.71,8
2018,2,7.49,9
2018,2,5.99,10
2018,2,23.41,11
2018,2,13.57,12
2018,2,10.32,13
2018,2,8.62,14
2018,2,17.93,15
2018,2,15.43,16
2018,2,9.67,17
2018,2,8.39,18
2018,2,4.34,19
2018,2,9.92,20
2018,2,19.68,21
2018,2,8.75,22
2018,2,27.16,23
2018,2,10.28,24
2018,1,20.28,1
2018,1,44.56,2
2018,1,8.34,3
2018,1,8.24,4
2018,1,16.47,5
2018,1,19.45,6
2018,1,8.6,7
2018,1,14.56,8
2018,1,5.45,9
2018,1,5.91,10
2018,1,23.64,11
2018,1,13.69,12
2018,1,10.35,13
2018,1,8.43,14
2018,1,18.31,15
2018,1,15.32,16
2018,1,9.63,17
2018,1,8.31,18
2018,1,4.34,19
2018,1,9.98,20
2018,1,19.58,21
2018,1,8.68,22
2018,1,19.33,23
2018,1,10.2,24
2017,4,18.61,1
2017,4,51.62,2
2017,4,7.28,3
2017,4,8.23,4
2017,4,15.78,5
2017,4,19.39,6
2017,4,8.56,7
2017,4,14.32,8
2017,4,5.41,9
2017,4,5.82,10
2017,4,23.41,11
2017,4,13.73,12
2017,4,9.3,13
2017,4,8.48,14
2017,4,18.23,15
2017,4,15.19,16
2017,4,9.64,17
2017,4,7.72,18
2017,4,3.03,19
2017,4,8.6,20
2017,4,19.41,21
2017,4,7.23,22
2017,4,17.76,23
2017,4,9.88,24
2017,3,17.94,1
2017,3,51.24,2
2017,3,8.27,3
2017,3,8.01,4
2017,3,14.17,5
2017,3,19.08,6
2017,3,8.47,7
2017,3,13.74,8
2017,3,5.43,9
2017,3,5.79,10
2017,3,22.78,11
2017,3,13.7,12
2017,3,9.96,13
2017,3,8.23,14
2017,3,18.11,15
2017,3,14.92,16
2017,3,9.65,17
2017,3,8.25,18
2017,3,4.43,19
2017,3,9.91,20
2017,3,19.15,21
2017,3,8.72,22
2017,3,19.49,23
2017,3,9.83,24
2017,2,18.1,1
2017,2,52.24,2
2017,2,6.61,3
2017,2,7.76,4
2017,2,10.9,5
2017,2,18.06,6
2017,2,8.27,7
2017,2,13.57,8
2017,2,5.08,9
2017,2,5.73,10
2017,2,20.92,11
2017,2,4.31,12
2017,2,8.86,13
2017,2,8.2,14
2017,2,18.43,15
2017,2,14.16,16
2017,2,7.93,17
2017,2,6.87,18
2017,2,2.72,19
2017,2,7.81,20
2017,2,16.44,21
2017,2,3.5,22
2017,2,20.3,23
2017,2,9.46,24
2017,1,18.8,1
2017,1,45.69,2
2017,1,6.53,3
2017,1,7.65,4
2017,1,10.93,5
2017,1,17.65,6
2017,1,8.15,7
2017,1,13.43,8
2017,1,5.05,9
2017,1,5.82,10
2017,1,20.65,11
2017,1,4.31,12
2017,1,8.89,13
2017,1,8.04,14
2017,1,18.17,15
2017,1,14.16,16
2017,1,7.89,17
2017,1,6.89,18
2017,1,2.73,19
2017,1,7.89,20
2017,1,16.34,21
2017,1,3.65,22
2017,1,20.44,23
2017,1,9.39,24
2016,4,18.58,1
2016,4,45.78,2
2016,4,6.72,3
2016,4,7.65,4
2016,4,10.96,5
2016,4,17.57,6
2016,4,8.12,7
2016,4,13.45,8
2016,4,5.03,9
2016,4,5.76,10
2016,4,20.67,11
2016,4,4.35,12
2016,4,8.91,13
2016,4,8.05,14
2016,4,17.99,15
2016,4,14.17,16
2016,4,7.87,17
2016,4,6.91,18
2016,4,2.74,19
2016,4,7.94,20
2016,4,16.35,21
2016,4,3.72,22
2016,4,20.57,23
2016,4,9.35,24
2016,3,18.3,1
2016,3,45.85,2
2016,3,6.72,3
2016,3,7.71,4
2016,3,11.04,5
2016,3,17.79,6
2016,3,8.16,7
2016,3,13.55,8
2016,3,4.73,9
2016,3,5.76,10
2016,3,20.29,11
2016,3,4.53,12
2016,3,8.93,13
2016,3,8.12,14
2016,3,17.86,15
2016,3,14.22,16
2016,3,7.96,17
2016,3,6.94,18
2016,3,2.75,19
2016,3,7.93,20
2016,3,16.53,21
2016,3,3.79,22
2016,3,20.31,23
2016,3,9.36,24
2016,2,18.1,1
2016,2,45.59,2
2016,2,6.63,3
2016,2,7.64,4
2016,2,11.07,5
2016,2,17.62,6
2016,2,8.05,7
2016,2,13.38,8
2016,2,4.93,9
2016,2,5.6,10
2016,2,19.91,11
2016,2,4.49,12
2016,2,8.97,13
2016,2,7.96,14
2016,2,17.59,15
2016,2,14.22,16
2016,2,7.77,17
2016,2,6.96,18
2016,2,2.75,19
2016,2,7.96,20
2016,2,16.49,21
2016,2,3.94,22
2016,2,20.08,23
2016,2,9.22,24
2016,1,17.54,1
2016,1,43.76,2
2016,1,6.61,3
2016,1,7.52,4
2016,1,11.12,5
2016,1,16.97,6
2016,1,7.94,7
2016,1,13.14,8
2016,1,4.86,9
2016,1,5.49,10
2016,1,19.1,11
2016,1,4.5,12
2016,1,8.99,13
2016,1,7.75,14
2016,1,16.66,15
2016,1,14.15,16
2016,1,7.61,17
2016,1,6.98,18
2016,1,2.75,19
2016,1,8.05,20
2016,1,16.16,21
2016,1,4.03,22
2016,1,19.65,23
2016,1,9.13,24
2015,4,17.68,1
2015,4,44.83,2
2015,4,6.64,3
2015,4,7.54,4
2015,4,11.21,5
2015,4,17.47,6
2015,4,7.95,7
2015,4,13.12,8
2015,4,4.83,9
2015,4,5.46,10
2015,4,19.27,11
2015,4,4.58,12
2015,4,9.02,13
2015,4,7.77,14
2015,4,17.23,15
2015,4,14.19,16
2015,4,7.6,17
2015,4,7.01,18
2015,4,2.76,19
2015,4,8.14,20
2015,4,16.47,21
2015,4,4.2,22
2015,4,19.44,23
2015,4,9.12,24
2015,3,17.55,1
2015,3,44.91,2
2015,3,6.56,3
2015,3,7.45,4
2015,3,11.23,5
2015,3,17.43,6
2015,3,7.93,7
2015,3,13.03,8
2015,3,4.78,9
2015,3,5.42,10
2015,3,19.06,11
2015,3,4.55,12
2015,3,9.04,13
2015,3,7.69,14
2015,3,16.2,15
2015,3,14.22,16
2015,3,7.53,17
2015,3,7.03,18
2015,3,2.77,19
2015,3,8.16,20
2015,3,16.36,21
2015,3,4.24,22
2015,3,22.05,23
2015,3,9.04,24
2015,2,17.33,1
2015,2,44.08,2
2015,2,6.48,3
2015,2,7.34,4
2015,2,11.22,5
2015,2,17.11,6
2015,2,7.79,7
2015,2,12.84,8
2015,2,4.67,9
2015,2,5.19,10
2015,2,18.69,11
2015,2,4.49,12
2015,2,9.07,13
2015,2,7.45,14
2015,2,15.81,15
2015,2,14.14,16
2015,2,7.38,17
2015,2,7.04,18
2015,2,2.78,19
2015,2,8.06,20
2015,2,16.09,21
2015,2,4.25,22
2015,2,22.1,23
2015,2,8.84,24
2015,1,17.24,1
2015,1,43.66,2
2015,1,6.4,3
2015,1,7.14,4
2015,1,11.59,5
2015,1,16.79,6
2015,1,7.64,7
2015,1,12.61,8
2015,1,4.62,9
2015,1,5.05,10
2015,1,18.33,11
2015,1,4.46,12
2015,1,9.06,13
2015,1,7.19,14
2015,1,15.53,15
2015,1,13.99,16
2015,1,7.29,17
2015,1,7.04,18
2015,1,2.79,19
2015,1,8.39,20
2015,1,15.83,21
2015,1,4.24,22
2015,1,22.17,23
2015,1,8.72,24
2014,4,17.01,1
2014,4,43.6,2
2014,4,6.46,3
2014,4,5.81,4
2014,4,12.22,5
2014,4,16.66,6
2014,4,6.17,7
2014,4,10.72,8
2014,4,4.55,9
2014,4,4.98,10
2014,4,16.82,11
2014,4,4.5,12
2014,4,9.06,13
2014,4,6.54,14
2014,4,15.53,15
2014,4,13.89,16
2014,4,7.1,17
2014,4,7.1,18
2014,4,2.78,19
2014,4,8.16,20
2014,4,15.66,21
2014,4,4.26,22
2014,4,19.34,23
2014,4,8.69,24
2014,3,17.26,1
2014,3,43.21,2
2014,3,6.27,3
2014,3,5.63,4
2014,3,12.39,5
2014,3,16.56,6
2014,3,5.99,7
2014,3,10.43,8
2014,3,4.51,9
2014,3,4.68,10
2014,3,18.34,11
2014,3,4.38,12
2014,3,8.99,13
2014,3,6.4,14
2014,3,16.73,15
2014,3,14.16,16
2014,3,7.05,17
2014,3,7.08,18
2014,3,2.77,19
2014,3,8.34,20
2014,3,15.44,21
2014,3,4.08,22
2014,3,19.34,23
2014,3,8.38,24
2014,2,16.79,1
2014,2,42.97,2
2014,2,6.28,3
2014,2,5.6,4
2014,2,12.7,5
2014,2,16.37,6
2014,2,5.95,7
2014,2,10.37,8
2014,2,4.46,9
2014,2,4.78,10
2014,2,16.38,11
2014,2,4.39,12
2014,2,8.96,13
2014,2,6.37,14
2014,2,15.14,15
2014,2,13.95,16
2014,2,7.0,17
2014,2,7.08,18
2014,2,2.78,19
2014,2,8.74,20
2014,2,15.22,21
2014,2,4.14,22
2014,2,19.09,23
2014,2,8.41,24
2014,1,16.69,1
2014,1,42.66,2
2014,1,6.18,3
2014,1,5.55,4
2014,1,12.7,5
2014,1,16.13,6
2014,1,5.89,7
2014,1,10.3,8
2014,1,4.44,9
2014,1,4.72,10
2014,1,15.99,11
2014,1,4.35,12
2014,1,8.93,13
2014,1,6.32,14
2014,1,14.88,15
2014,1,13.87,16
2014,1,6.98,17
2014,1,7.05,18
2014,1,2.68,19
2014,1,8.68,20
2014,1,15.08,21
2014,1,4.06,22
2014,1,19.1,23
2014,1,8.31,24
