A̱o,Trimestre,Mbps (Media de bajada),id_provincia
2022,4,111.0,1
2022,4,182.86,2
2022,4,83.33,3
2022,4,104.02,4
2022,4,15.92,5
2022,4,108.77,6
2022,4,94.72,7
2022,4,87.47,8
2022,4,72.03,9
2022,4,39.32,10
2022,4,19.1,11
2022,4,61.0,12
2022,4,38.76,13
2022,4,91.24,14
2022,4,95.37,15
2022,4,75.31,16
2022,4,75.93,17
2022,4,16.39,18
2022,4,30.67,19
2022,4,14.33,20
2022,4,90.3,21
2022,4,34.4,22
2022,4,13.48,23
2022,4,88.33,24
2022,3,70.19,1
2022,3,101.05,2
2022,3,60.99,3
2022,3,53.21,4
2022,3,15.57,5
2022,3,56.32,6
2022,3,45.07,7
2022,3,42.49,8
2022,3,30.35,9
2022,3,32.43,10
2022,3,18.1,11
2022,3,44.3,12
2022,3,34.16,13
2022,3,49.3,14
2022,3,47.81,15
2022,3,34.13,16
2022,3,41.33,17
2022,3,15.84,18
2022,3,19.33,19
2022,3,12.6,20
2022,3,45.15,21
2022,3,17.69,22
2022,3,11.01,23
2022,3,53.36,24
2022,2,65.5,1
2022,2,93.97,2
2022,2,56.56,3
2022,2,50.61,4
2022,2,14.91,5
2022,2,53.51,6
2022,2,43.31,7
2022,2,40.03,8
2022,2,28.47,9
2022,2,29.39,10
2022,2,16.07,11
2022,2,43.28,12
2022,2,29.72,13
2022,2,46.23,14
2022,2,46.53,15
2022,2,33.26,16
2022,2,38.77,17
2022,2,14.44,18
2022,2,19.32,19
2022,2,11.81,20
2022,2,42.01,21
2022,2,16.34,22
2022,2,10.97,23
2022,2,50.09,24
2022,1,62.51,1
2022,1,88.22,2
2022,1,51.22,3
2022,1,45.84,4
2022,1,13.4,5
2022,1,49.89,6
2022,1,38.11,7
2022,1,35.59,8
2022,1,30.28,9
2022,1,27.69,10
2022,1,14.84,11
2022,1,41.37,12
2022,1,26.2,13
2022,1,41.87,14
2022,1,43.05,15
2022,1,31.09,16
2022,1,36.71,17
2022,1,11.99,18
2022,1,20.95,19
2022,1,10.89,20
2022,1,38.89,21
2022,1,14.5,22
2022,1,10.73,23
2022,1,47.24,24
2021,4,60.2091238315554,1
2021,4,82.94995496542248,2
2021,4,46.380057758939095,3
2021,4,42.342637514688604,4
2021,4,9.082660638555469,5
2021,4,46.36090745799214,6
2021,4,35.772659194287044,7
2021,4,33.31712584167462,8
2021,4,28.75764894769421,9
2021,4,27.14434303841708,10
2021,4,13.853882842854397,11
2021,4,39.69594513667998,12
2021,4,22.23158340100516,13
2021,4,38.90334925090757,14
2021,4,40.092530111167584,15
2021,4,27.20317045489215,16
2021,4,33.940639744985226,17
2021,4,11.05274930815778,18
2021,4,20.90972444801464,19
2021,4,8.990650984477549,20
2021,4,36.024023837275145,21
2021,4,13.84088684951507,22
2021,4,10.696704944050463,23
2021,4,45.14812243339947,24
2021,3,56.25755092469591,1
2021,3,77.71207106907312,2
2021,3,43.43333599763174,3
2021,3,39.113135809207584,4
2021,3,8.176860363136605,5
2021,3,41.92778724566202,6
2021,3,32.16890082785829,7
2021,3,29.60123187949277,8
2021,3,26.68942678494665,9
2021,3,25.980702520297545,10
2021,3,12.99161507240359,11
2021,3,38.86795185445044,12
2021,3,13.365156173184468,13
2021,3,30.87871831426499,14
2021,3,38.34222315428742,15
2021,3,25.400065197148727,16
2021,3,31.209681857038827,17
2021,3,7.041300820394967,18
2021,3,21.69870707116376,19
2021,3,7.692326941812981,20
2021,3,33.13229624738131,21
2021,3,13.352723533519551,22
2021,3,9.52,23
2021,3,42.10118530571482,24
2021,2,52.75542937003713,1
2021,2,72.74675003231476,2
2021,2,42.18506376779111,3
2021,2,37.39690959622207,4
2021,2,7.67690621713348,5
2021,2,39.59011648994794,6
2021,2,30.368054802005656,7
2021,2,27.61897306203556,8
2021,2,23.96630452806761,9
2021,2,25.812477856862227,10
2021,2,12.27922373804818,11
2021,2,38.53489438300775,12
2021,2,13.465987205003026,13
2021,2,28.682221735396933,14
2021,2,36.10972145846688,15
2021,2,23.74844668144268,16
2021,2,29.239354220742428,17
2021,2,6.993162601626016,18
2021,2,21.66188998963924,19
2021,2,7.629667005202396,20
2021,2,30.7018831645519,21
2021,2,12.718797838683304,22
2021,2,8.591921426483484,23
2021,2,40.30992032851357,24
2021,1,50.78565608506508,1
2021,1,68.29026886796898,2
2021,1,39.96652623965282,3
2021,1,33.6262012999863,4
2021,1,7.531527409144197,5
2021,1,36.16879932843764,6
2021,1,25.985171359720063,7
2021,1,23.87133437318357,8
2021,1,20.980327506975215,9
2021,1,26.777362312404005,10
2021,1,10.728511929531797,11
2021,1,12.697554732181876,12
2021,1,12.599361245254226,13
2021,1,25.076826126081443,14
2021,1,34.23850264753642,15
2021,1,21.92390676083096,16
2021,1,27.31884069404982,17
2021,1,6.910089995382067,18
2021,1,21.594379804710776,19
2021,1,7.501531847531764,20
2021,1,28.130630073152936,21
2021,1,11.584174516498134,22
2021,1,8.734752396277898,23
2021,1,37.97961958190828,24
2020,4,50.00838083963576,1
2020,4,67.32513676879374,2
2020,4,37.6500877273544,3
2020,4,32.45204676418101,4
2020,4,7.383087626414736,5
2020,4,35.120601241883946,6
2020,4,25.446700896630592,7
2020,4,24.05327825306045,8
2020,4,19.6983490087788,9
2020,4,25.20639328416149,10
2020,4,9.875605170860927,11
2020,4,12.534655980598345,12
2020,4,11.093171319457166,13
2020,4,24.956617779680364,14
2020,4,33.90786486677393,15
2020,4,21.636719189849995,16
2020,4,25.32243965074473,17
2020,4,6.412867397953183,18
2020,4,21.252954082189127,19
2020,4,7.492108628119051,20
2020,4,27.294352446215623,21
2020,4,11.280765527511996,22
2020,4,8.486806949337868,23
2020,4,36.44224682915296,24
2020,3,48.37662390811511,1
2020,3,63.80852025607172,2
2020,3,36.540436607329845,3
2020,3,30.802726948564217,4
2020,3,7.402074441844787,5
2020,3,33.51119497419789,6
2020,3,23.851523971242955,7
2020,3,22.432598646206184,8
2020,3,18.2828320694304,9
2020,3,21.910419686869957,10
2020,3,10.697630905402091,11
2020,3,12.194703767058195,12
2020,3,10.18749103459563,13
2020,3,24.14176187252152,14
2020,3,31.46090402703376,15
2020,3,21.07777870325876,16
2020,3,25.261155924027737,17
2020,3,6.027864793582682,18
2020,3,20.84992813378867,19
2020,3,6.649363712026633,20
2020,3,25.690941341268072,21
2020,3,10.87901727065974,22
2020,3,8.506676055475614,23
2020,3,34.835801698615526,24
2020,2,45.66197363212277,1
2020,2,60.4844973584038,2
2020,2,34.92595642857143,3
2020,2,27.95228467436429,4
2020,2,7.605487984559083,5
2020,2,30.987577637139463,6
2020,2,22.15030606257576,7
2020,2,20.448621178442583,8
2020,2,16.870258993114398,9
2020,2,15.864013631862552,10
2020,2,8.028862255598405,11
2020,2,11.66911096197726,12
2020,2,9.274562732094155,13
2020,2,22.560122617583183,14
2020,2,29.100147623878517,15
2020,2,19.679596047283173,16
2020,2,22.55853618795662,17
2020,2,6.308614963196474,18
2020,2,21.02062693689071,19
2020,2,6.593202418178028,20
2020,2,23.925791608984092,21
2020,2,10.411619106122004,22
2020,2,8.128329395457266,23
2020,2,32.70453443718797,24
2020,1,45.18128807375552,1
2020,1,58.70568296242247,2
2020,1,29.132225012939607,3
2020,1,25.942049334121737,4
2020,1,7.117047781865397,5
2020,1,29.39478783506133,6
2020,1,20.538999274943325,7
2020,1,19.029765335057498,8
2020,1,15.697352607415109,9
2020,1,14.14492205715465,10
2020,1,7.291757720474826,11
2020,1,7.962418947150687,12
2020,1,8.440867710216997,13
2020,1,22.148213068436263,14
2020,1,27.76828207897622,15
2020,1,19.06030056406124,16
2020,1,21.425047243902736,17
2020,1,6.036984591484099,18
2020,1,20.989379744282655,19
2020,1,6.417170627364028,20
2020,1,22.42405677003625,21
2020,1,10.00053908049476,22
2020,1,7.410865837696335,23
2020,1,32.24553094303289,24
2019,4,30.769694141005864,1
2019,4,44.20317867008588,2
2019,4,24.87830767046261,3
2019,4,23.37495080016229,4
2019,4,6.994113523445059,5
2019,4,26.16228061451293,6
2019,4,19.255411607971407,7
2019,4,17.007580897657125,8
2019,4,14.525629551519328,9
2019,4,12.959200042804213,10
2019,4,6.526152195693043,11
2019,4,8.000880364029628,12
2019,4,7.785200889987086,13
2019,4,20.32034743574273,14
2019,4,26.01988431478295,15
2019,4,17.17699897385603,16
2019,4,19.08357302283381,17
2019,4,6.040171698468491,18
2019,4,20.690353422143115,19
2019,4,5.207925064069708,20
2019,4,20.54719701980728,21
2019,4,9.792201844355846,22
2019,4,7.27,23
2019,4,29.87038932431276,24
2019,3,25.679380143834067,1
2019,3,38.71410056071139,2
2019,3,9.293407429459826,3
2019,3,19.994668122685404,4
2019,3,6.966323588474291,5
2019,3,23.19340236493985,6
2019,3,16.69992255090861,7
2019,3,14.69513286650061,8
2019,3,13.22353748406198,9
2019,3,11.968240929924349,10
2019,3,5.719666464891041,11
2019,3,8.002375296912113,12
2019,3,6.10822854552147,13
2019,3,17.931522461372833,14
2019,3,23.74841515996666,15
2019,3,15.983718503999242,16
2019,3,14.746465244455525,17
2019,3,6.038229508650902,18
2019,3,19.743826982349614,19
2019,3,5.017746940956451,20
2019,3,18.165529686687883,21
2019,3,9.38941313142636,22
2019,3,6.690701380143412,23
2019,3,19.323994794580525,24
2019,2,22.480046018557395,1
2019,2,30.346259857091997,2
2019,2,8.81,3
2019,2,16.01024333099657,4
2019,2,6.054406893543786,5
2019,2,18.43151783191278,6
2019,2,13.833035083816176,7
2019,2,12.193357817950574,8
2019,2,10.836611219480826,9
2019,2,12.073382280507326,10
2019,2,5.492288321417966,11
2019,2,7.894163486005089,12
2019,2,6.02629690452623,13
2019,2,14.50130254739236,14
2019,2,17.242865250195976,15
2019,2,11.628050204319909,16
2019,2,12.548748750601565,17
2019,2,6.118522013069041,18
2019,2,19.875972848399364,19
2019,2,6.008047317560813,20
2019,2,15.074549058890282,21
2019,2,7.103112882966522,22
2019,2,6.34,23
2019,2,18.52931788592033,24
2019,1,19.643958224230506,1
2019,1,24.715063293849774,2
2019,1,7.964005155271879,3
2019,1,13.444236269077935,4
2019,1,5.891730569196159,5
2019,1,15.73486422864591,6
2019,1,12.049695550812029,7
2019,1,10.659197328953976,8
2019,1,9.825089957835711,9
2019,1,8.560464217465055,10
2019,1,5.057861842867403,11
2019,1,7.092792286992043,12
2019,1,5.742764175317399,13
2019,1,12.512773459683505,14
2019,1,15.88465326391522,15
2019,1,10.488420648136287,16
2019,1,10.37710001396946,17
2019,1,5.839263189429536,18
2019,1,8.708555188754593,19
2019,1,5.779992970397563,20
2019,1,12.986963477266004,21
2019,1,6.415070737969083,22
2019,1,6.341101450612301,23
2019,1,16.573299964579572,24
2018,4,16.934363010150058,1
2018,4,22.93530199223472,2
2018,4,8.043920202659912,3
2018,4,13.492083570210347,4
2018,4,6.085223903684034,5
2018,4,15.813667433629776,6
2018,4,12.138923393387724,7
2018,4,11.023282490376957,8
2018,4,9.816893711913805,9
2018,4,8.562737601752614,10
2018,4,4.319094957943483,11
2018,4,7.093382125154895,12
2018,4,5.746675102434321,13
2018,4,12.495112674155788,14
2018,4,15.89123364607043,15
2018,4,10.487005565275494,16
2018,4,10.45728408913591,17
2018,4,5.715266539357845,18
2018,4,8.818992791900516,19
2018,4,5.119507364772868,20
2018,4,13.179234899969485,21
2018,4,6.309255243851745,22
2018,4,7.436562008214025,23
2018,4,16.58323444553027,24
2018,3,16.77973513236217,1
2018,3,21.643368364061413,2
2018,3,7.806521941530631,3
2018,3,12.89496189060927,4
2018,3,6.076722322942862,5
2018,3,14.8182495375679,6
2018,3,11.493228365457124,7
2018,3,10.524753506287304,8
2018,3,9.318495441068285,9
2018,3,7.669872151814152,10
2018,3,4.283048376167659,11
2018,3,6.156013225626096,12
2018,3,5.786015677158131,13
2018,3,12.487485758721087,14
2018,3,14.674244286624784,15
2018,3,10.06446008106754,16
2018,3,9.265848177562406,17
2018,3,5.738204725877363,18
2018,3,8.814987579354126,19
2018,3,5.369715716600383,20
2018,3,12.357326043488577,21
2018,3,5.779842512369051,22
2018,3,5.98788374717833,23
2018,3,15.255950362488306,24
2018,2,14.679375512175804,1
2018,2,18.93813458927817,2
2018,2,7.693096507452943,3
2018,2,12.499460181995785,4
2018,2,5.329857730598913,5
2018,2,13.876809406349514,6
2018,2,10.87765289559918,7
2018,2,10.186702751759965,8
2018,2,8.974986530777175,9
2018,2,6.289345589213642,10
2018,2,4.098364171057469,11
2018,2,5.591861584368082,12
2018,2,5.880529663045039,13
2018,2,11.759657402552,14
2018,2,13.365011560107956,15
2018,2,9.509595114373948,16
2018,2,8.928271706442677,17
2018,2,5.845597830692315,18
2018,2,5.900575184880855,19
2018,2,5.189289950855788,20
2018,2,11.74888462281756,21
2018,2,5.911001646998384,22
2018,2,5.942745057375916,23
2018,2,13.506545729627105,24
2018,1,14.198889644680946,1
2018,1,17.74557730418008,2
2018,1,8.198860528714677,3
2018,1,12.444064678644969,4
2018,1,5.418637938827784,5
2018,1,12.790571217400483,6
2018,1,11.118502865253635,7
2018,1,9.87523936699876,8
2018,1,11.056815367469506,9
2018,1,6.741185879384532,10
2018,1,3.995131352064104,11
2018,1,5.890820604111634,12
2018,1,5.881626969169374,13
2018,1,12.082189465143012,14
2018,1,11.96045995607415,15
2018,1,8.976243194361576,16
2018,1,9.1894409821995,17
2018,1,5.850581035549749,18
2018,1,5.89436270457927,19
2018,1,5.189289950855788,20
2018,1,11.173305005746002,21
2018,1,6.248210722163038,22
2018,1,5.768082036032884,23
2018,1,9.355631684806106,24
2017,4,12.9720825438982,1
2017,4,15.20221886916041,2
2017,4,7.78415435139573,3
2017,4,11.702868121959405,4
2017,4,5.408238076890145,5
2017,4,11.63658470115664,6
2017,4,10.384400430891969,7
2017,4,9.295960619999066,8
2017,4,10.114170463766309,9
2017,4,6.638821273566491,10
2017,4,3.975819444981504,11
2017,4,5.877588849506658,12
2017,4,5.71002586675844,13
2017,4,11.324123723249611,14
2017,4,10.719151524540267,15
2017,4,8.045522324672751,16
2017,4,8.451742767775633,17
2017,4,5.832260073010133,18
2017,4,5.732208801354054,19
2017,4,5.206584828874508,20
2017,4,10.297494601847182,21
2017,4,6.165600214985038,22
2017,4,5.203225704536838,23
2017,4,9.106021307187058,24
2017,3,8.425706211853651,1
2017,3,10.635720274073307,2
2017,3,5.260018066713561,3
2017,3,8.484871287555498,4
2017,3,3.4783469156690874,5
2017,3,9.11557287304998,6
2017,3,7.447416428085263,7
2017,3,6.993400639349653,8
2017,3,7.06882153411281,9
2017,3,4.689006725369201,10
2017,3,3.4381011143320657,11
2017,3,5.010090208766659,12
2017,3,3.512962661663036,13
2017,3,8.430383025286991,14
2017,3,8.16517738570226,15
2017,3,5.487278804673885,16
2017,3,6.133146206896552,17
2017,3,3.4497842064911834,18
2017,3,3.50338739319684,19
2017,3,3.610470505758638,20
2017,3,7.792215148399743,21
2017,3,5.178558078335373,22
2017,3,3.475358271865121,23
2017,3,6.385176801555399,24
2017,2,7.198747751887984,1
2017,2,8.843219830788254,2
2017,2,5.102182825899711,3
2017,2,7.689213433544128,4
2017,2,3.44726909222351,5
2017,2,7.421321799076774,6
2017,2,6.791580482607055,7
2017,2,6.287810106292773,8
2017,2,6.1786533146404965,9
2017,2,4.541861878194008,10
2017,2,3.3182593614961053,11
2017,2,5.53385510805501,12
2017,2,3.507255863215121,13
2017,2,7.604338490520663,14
2017,2,6.700610698446883,15
2017,2,4.741350857381452,16
2017,2,5.756213134839845,17
2017,2,3.492033809523809,18
2017,2,3.502824149975052,19
2017,2,3.60311348968991,20
2017,2,6.838749250446204,21
2017,2,5.05794740805446,22
2017,2,3.476761467376085,23
2017,2,6.093280445624717,24
2017,1,6.678482577091709,1
2017,1,8.348147316695423,2
2017,1,4.973784837545127,3
2017,1,7.307905398272823,4
2017,1,3.4433862008733622,5
2017,1,6.799477637369997,6
2017,1,6.43297127701597,7
2017,1,5.9514745757075245,8
2017,1,5.742388931901572,9
2017,1,4.393861259634748,10
2017,1,3.2208135842183347,11
2017,1,5.427180473372781,12
2017,1,3.5072942051440963,13
2017,1,7.341041988916319,14
2017,1,6.0348361444213925,15
2017,1,4.449448877971685,16
2017,1,5.335371217821875,17
2017,1,3.492435161246428,18
2017,1,3.502824149975052,19
2017,1,3.591930075636318,20
2017,1,6.284036486892411,21
2017,1,4.948965833284994,22
2017,1,3.476761467376085,23
2017,1,5.8755073256955805,24
2016,4,6.3515464502603125,1
2016,4,7.957596242752894,2
2016,4,4.885711305119858,3
2016,4,7.077531005919823,4
2016,4,3.407191291444817,5
2016,4,6.4667403639056085,6
2016,4,6.236245604077509,7
2016,4,5.807350829127614,8
2016,4,5.630674164916322,9
2016,4,4.323962745742035,10
2016,4,3.189559729749796,11
2016,4,5.34376242721422,12
2016,4,3.506603469745376,13
2016,4,7.109475809101364,14
2016,4,5.678446306542373,15
2016,4,4.369930463165329,16
2016,4,5.220883577846971,17
2016,4,3.491135554044867,18
2016,4,3.502824149975052,19
2016,4,3.5639164089588604,20
2016,4,6.040233328940666,21
2016,4,4.866794431448622,22
2016,4,3.476761467376085,23
2016,4,5.7277669342021085,24
2016,3,5.914918008163684,1
2016,3,7.380172699207805,2
2016,3,4.725241179958494,3
2016,3,6.718220363245951,4
2016,3,3.343866327984636,5
2016,3,6.068526923518407,6
2016,3,5.958192561066714,7
2016,3,5.586427488329489,8
2016,3,5.416131006999096,9
2016,3,4.215291130909006,10
2016,3,3.144998426188228,11
2016,3,5.076731739002066,12
2016,3,3.50729080145311,13
2016,3,6.741222269842242,14
2016,3,5.292166864731292,15
2016,3,4.162924282482748,16
2016,3,5.052874436550483,17
2016,3,3.4890674462877342,18
2016,3,3.5030237740401677,19
2016,3,3.53583356483625,20
2016,3,5.6772637615647845,21
2016,3,4.670123087013555,22
2016,3,3.47654537746248,23
2016,3,5.544683260191403,24
2016,2,5.415144367004824,1
2016,2,6.576218932459292,2
2016,2,4.3648359645166135,3
2016,2,6.297357510958081,4
2016,2,3.335973498985547,5
2016,2,5.516912823002807,6
2016,2,5.601822569524247,7
2016,2,5.131142783301248,8
2016,2,5.104132195866278,9
2016,2,3.843353043958065,10
2016,2,3.146067806525381,11
2016,2,4.773843067001075,12
2016,2,3.500168567871608,13
2016,2,6.233660566754793,14
2016,2,4.86640695565863,15
2016,2,3.976616411905147,16
2016,2,4.749378935322928,17
2016,2,3.4883718294284334,18
2016,2,3.501983369175627,19
2016,2,3.5021150276004565,20
2016,2,5.1385985309185065,21
2016,2,4.309815179590645,22
2016,2,3.478692463211772,23
2016,2,5.200979761760874,24
2016,1,4.9921684374839135,1
2016,1,6.047403702811701,2
2016,1,4.203588449295134,3
2016,1,5.991472683208309,4
2016,1,3.3796639330714164,5
2016,1,5.156801617049669,6
2016,1,5.37127911707625,7
2016,1,5.084574905605243,8
2016,1,4.872333380420963,9
2016,1,3.7712213425983374,10
2016,1,3.04764203627926,11
2016,1,4.616973938050446,12
2016,1,3.5028689229788785,13
2016,1,6.000968717380309,14
2016,1,4.420493149015266,15
2016,1,3.826659196828916,16
2016,1,4.741858784571524,17
2016,1,3.485523490760477,18
2016,1,3.5029004392386534,19
2016,1,3.48315808971074,20
2016,1,4.898136028952046,21
2016,1,4.174011564306923,22
2016,1,3.475082632716791,23
2016,1,5.004036640679885,24
2015,4,4.884148905856541,1
2015,4,5.927803522979041,2
2015,4,4.124268369158702,3
2015,4,5.828384180790961,4
2015,4,3.283865031613298,5
2015,4,5.067081493268407,6
2015,4,5.259482120492081,7
2015,4,5.007855905299356,8
2015,4,4.660308568580684,9
2015,4,3.7246804758922982,10
2015,4,2.936747707229629,11
2015,4,4.521671863926294,12
2015,4,3.5017779300891023,13
2015,4,5.9022914436487,14
2015,4,4.355592861552936,15
2015,4,3.768932299598505,16
2015,4,4.673467038141578,17
2015,4,3.481604116955732,18
2015,4,3.502937425860024,19
2015,4,3.4809679619106126,20
2015,4,4.809873774553555,21
2015,4,4.094101691450764,22
2015,4,3.4748248642417257,23
2015,4,4.882297946330778,24
2015,3,4.700597914270459,1
2015,3,5.66468043459464,2
2015,3,3.884563872599747,3
2015,3,5.46643296553986,4
2015,3,3.2790384114749496,5
2015,3,4.867849001225086,6
2015,3,5.063473816782213,7
2015,3,4.766712366729086,8
2015,3,4.166164102194515,9
2015,3,3.532724551201011,10
2015,3,2.9149322141427945,11
2015,3,4.245850575398008,12
2015,3,3.500160951021911,13
2015,3,5.634289050903693,14
2015,3,4.2299439848957405,15
2015,3,3.7368314562024914,16
2015,3,4.4218314129775615,17
2015,3,3.4810928203738825,18
2015,3,3.502753871598256,19
2015,3,3.4806877443585877,20
2015,3,4.559895452402629,21
2015,3,3.911237321691457,22
2015,3,3.477721056932716,23
2015,3,4.572318667230303,24
2015,2,4.463495663548014,1
2015,2,5.31214873823781,2
2015,2,3.6825082950385535,3
2015,2,5.194771414259476,4
2015,2,3.216571647485116,5
2015,2,4.557937666200854,6
2015,2,4.847197637993736,7
2015,2,4.55056996750087,8
2015,2,3.7649156840276494,9
2015,2,3.4086788431460917,10
2015,2,2.8626566401062417,11
2015,2,4.001551396208129,12
2015,2,3.4997241088624933,13
2015,2,5.327562649676923,14
2015,2,4.059617737533036,15
2015,2,3.666734448621427,16
2015,2,4.218121645686839,17
2015,2,3.478919289066708,18
2015,2,3.5027709531013613,19
2015,2,3.47332349743749,20
2015,2,4.303196181656382,21
2015,2,3.728811295360471,22
2015,2,3.47751587628866,23
2015,2,4.306812767469965,24
2015,1,4.323803709346771,1
2015,1,4.999711683876372,2
2015,1,3.483603660962992,3
2015,1,4.899908797030372,4
2015,1,3.213156577759796,5
2015,1,4.304279282006848,6
2015,1,4.628190221393157,7
2015,1,4.3467465057866335,8
2015,1,3.3811501123595504,9
2015,1,3.241902108598274,10
2015,1,2.8340995102178685,11
2015,1,3.780402106036489,12
2015,1,3.499130670898351,13
2015,1,4.973004251321198,14
2015,1,3.911491638198585,15
2015,1,3.585297088257377,16
2015,1,4.022777936163619,17
2015,1,3.4769891700932414,18
2015,1,3.5009942704654264,19
2015,1,3.474217030667377,20
2015,1,4.063283068408137,21
2015,1,3.571104125126239,22
2015,1,3.453878085751408,23
2015,1,4.071078040242438,24
2014,4,4.198943508236657,1
2014,4,4.7817877112755625,2
2014,4,3.336005334797788,3
2014,4,3.977400363306085,4
2014,4,3.174649158131256,5
2014,4,4.092903062184572,6
2014,4,3.806112311672501,7
2014,4,3.800051787110069,8
2014,4,3.023326617826618,9
2014,4,3.127642108190794,10
2014,4,2.754208730637699,11
2014,4,3.582023899524448,12
2014,4,3.498767768599914,13
2014,4,4.025619961413459,14
2014,4,3.850772582597391,15
2014,4,3.543129254254254,16
2014,4,3.862259431502549,17
2014,4,3.4752201692281126,18
2014,4,3.503621206358865,19
2014,4,3.3330261837139634,20
2014,4,3.780707860716513,21
2014,4,3.4582244726597287,22
2014,4,3.4747244698924056,23
2014,4,3.860612310244953,24
2014,3,3.969046991173242,1
2014,3,4.437380943390075,2
2014,3,2.915176175040519,3
2014,3,3.461947812450996,4
2014,3,3.165741790763976,5
2014,3,3.6600622495599104,6
2014,3,3.410927776641118,7
2014,3,3.3996079417526825,8
2014,3,2.656283015230384,9
2014,3,2.9307053902518616,10
2014,3,2.816519545748315,11
2014,3,3.095178784641488,12
2014,3,3.5028531768490665,13
2014,3,3.5775238575714927,14
2014,3,3.7429104879160966,15
2014,3,3.4799791702900404,16
2014,3,3.4109103624880306,17
2014,3,3.473725985590389,18
2014,3,3.503113190184049,19
2014,3,3.3073222601557406,20
2014,3,3.375592912249111,21
2014,3,3.0995465103889184,22
2014,3,3.470981711419659,23
2014,3,3.349897526769352,24
2014,2,3.851862760043666,1
2014,2,4.249991223638481,2
2014,2,2.915358424826804,3
2014,2,3.4206301023632,4
2014,2,3.156405252857589,5
2014,2,3.5567859606832632,6
2014,2,3.3669705989802563,7
2014,2,3.312400309974538,8
2014,2,2.6523512500000006,9
2014,2,2.7690316794782204,10
2014,2,2.684576055426866,11
2014,2,3.095153343388638,12
2014,2,3.503033182060705,13
2014,2,3.540023885712756,14
2014,2,3.6647043380451545,15
2014,2,3.4286257504445143,16
2014,2,3.391137751108792,17
2014,2,3.4724840645935795,18
2014,2,3.5041044810417468,19
2014,2,3.3181516601634398,20
2014,2,3.3116910410979234,21
2014,2,3.0697509211495944,22
2014,2,3.470095986812908,23
2014,2,3.34994476711167,24
2014,1,3.7331327999829305,1
2014,1,4.024081510870217,2
2014,1,2.8027344007923407,3
2014,1,3.2558373037444444,4
2014,1,3.1759166751464583,5
2014,1,3.3874045815248133,6
2014,1,3.2186250823491607,7
2014,1,3.1672900899827185,8
2014,1,2.573729210919676,9
2014,1,2.690263349406857,10
2014,1,2.64721042446136,11
2014,1,2.964740372987079,12
2014,1,3.502680556555116,13
2014,1,3.403126267679909,14
2014,1,3.5493016508254125,15
2014,1,3.353796318189495,16
2014,1,3.3009019792545207,17
2014,1,3.4691384597491712,18
2014,1,3.5028153221310823,19
2014,1,3.315991479820628,20
2014,1,3.1474068452786788,21
2014,1,2.949471721499205,22
2014,1,3.446887937323564,23
2014,1,3.208341823551126,24
